total_rooms,total_bedrooms,population,households,median_income,housing_median_age,latitude,longitude,ocean_proximity,median_house_value
960.0,205.0,729.0,356,8.071555373648826,4.0,32.21021106726217,-124.36484812586261,ISLAND,181937
3872.0,,,828,1.2020722912057624,22.0,40.196095530658,-115.70486539128646,NEAR OCEAN,192245
3192.0,518.0,2739.0,553,2.6558283295860607,26.0,40.24853767487104,-124.350448410959,<1H OCEAN,239977
566.0,98.0,,317,0.1755236336662891,49.0,39.8774218830237,-122.0116938949998,NEAR OCEAN,219169
4526.0,898.0,1728.0,635,2.933086107805647,43.0,34.83364068891118,-123.85868022110557,<1H OCEAN,345515
3544.0,133.0,1901.0,57,7.731418739186715,36.0,40.37237218221818,-121.75035760054858,INLAND,285132
3271.0,410.0,2991.0,557,5.179605277125789,13.0,37.42998132605269,-124.00384585638987,ISLAND,454470
3019.0,738.0,961.0,525,3.480955931682881,32.0,35.73808108867002,-117.65196424182685,ISLAND,185090
230.0,197.0,1380.0,346,3.717392949063303,17.0,38.25329959704233,-123.53340502023167,INLAND,317336
1785.0,679.0,2280.0,213,0.013536257154681541,41.0,32.12341046060374,-115.62969481577224,NEAR OCEAN,314159
869.0,391.0,1899.0,534,2.9980052756523587,36.0,33.42960877600752,-116.01089844200695,NEAR OCEAN,420298
2491.0,525.0,1806.0,646,6.464587416379305,46.0,39.42293538170263,-124.8497214598233,NEAR BAY,249988
2533.0,112.0,2660.0,121,9.741944438163571,19.0,34.44161608716153,-115.14701008933375,<1H OCEAN,78343
1284.0,750.0,2460.0,616,8.470608269838994,35.0,37.9800911732875,-124.68161251582296,NEAR OCEAN,381450
4655.0,,675.0,608,0.23594964645529126,46.0,35.851026028230294,-122.36389636546687,INLAND,55829
3485.0,610.0,2103.0,287,8.985606046748394,40.0,40.54805778799262,-124.64371948446406,NEAR OCEAN,84381
4217.0,376.0,1407.0,153,7.83198413298626,28.0,41.52415305996644,-121.30572164256752,ISLAND,423595
4943.0,818.0,2056.0,259,7.803761235709804,1.0,40.8356472837019,-119.34746821715402,<1H OCEAN,262153
3004.0,785.0,2834.0,603,4.579957590035715,42.0,34.70619994693597,-116.23690644083348,NEAR BAY,330407
574.0,190.0,2120.0,877,3.980052929545028,18.0,33.941628690460824,-121.28220294483181,<1H OCEAN,284748
1182.0,264.0,2312.0,517,3.029157288331926,48.0,36.74434893620735,-117.23960972859571,ISLAND,496476
2658.0,484.0,2452.0,503,0.6569485895436578,40.0,32.0733415083618,-122.93745097169122,ISLAND,486522
2147.0,,1755.0,317,2.282353634936991,33.0,32.258093928631816,-116.74341697581461,ISLAND,370562
2847.0,772.0,1679.0,435,2.4660363497802464,12.0,37.532906396230004,-122.40403733499839,ISLAND,271970
1075.0,367.0,1947.0,824,4.840770697102016,8.0,37.20449404165286,-123.42100768461856,INLAND,50148
1906.0,81.0,2303.0,897,7.4744440659669396,24.0,41.945819890352595,-122.9605026458854,NEAR BAY,444970
289.0,719.0,1490.0,436,4.7380982839794665,16.0,34.01841835363758,-122.99730558229959,ISLAND,338889
2834.0,334.0,1842.0,308,0.5784444944716061,,34.58103929160468,-119.3585083268531,ISLAND,122914
3105.0,354.0,2025.0,332,9.57789800988204,38.0,33.135406423262864,-115.70722660693039,NEAR OCEAN,499049
4758.0,478.0,719.0,675,9.427243190941123,44.0,41.17543009653745,-124.12434415308243,NEAR BAY,463356
