iter	RMSE
0	107730.7025
1	103438.8658
2	99388.62196
3	95344.4618
4	92336.05189
5	89862.09675
6	87424.53787
7	85229.30119
8	83135.01749
9	81293.93394
10	79780.866
11	77974.53919
12	76629.2938
13	75585.41246
14	74528.61683
15	73573.23079
16	72622.55954
17	71891.20488
18	71219.32758
19	70131.15808
20	69307.96111
21	68230.56377
22	67603.06877
23	66743.53615
24	66261.25781
25	65818.67669
26	64982.29866
27	64531.98507
28	64223.24866
29	63711.54599
30	63405.68031
31	63046.8426
32	62264.04203
33	61540.4386
34	61189.26228
35	60820.67233
36	60616.55214
37	60258.10326
38	59999.20444
39	59743.81979
40	59200.78062
41	58940.69979
42	58502.59195
43	58140.68181
44	57874.56082
45	57645.1234
46	57353.80707
47	57112.97023
48	56883.16256
49	56637.09351
50	56418.53245
51	56171.21612
52	55931.45055
53	55748.29744
54	55507.89172
55	55337.11375
56	55084.92561
57	54855.88053
58	54644.1922
59	54463.18031
60	54285.8652
61	54101.79618
62	53691.84709
63	53550.68474
64	53296.24407
65	53083.99665
66	52927.65141
67	52704.26296
68	52597.47182
69	52386.31961
70	52303.61329
71	52194.22791
72	52139.65364
73	51799.51245
74	51539.01296
75	51199.95526
76	51038.8478
77	50873.14332
78	50628.80625
79	50439.53121
80	50281.23311
81	49977.30311
82	49854.69029
83	49698.22349
84	49649.61767
85	49463.08746
86	49308.70536
87	49190.19418
88	48977.09363
89	48843.65279
90	48785.84711
91	48611.36587
92	48459.79197
93	48285.34312
94	48177.61336
95	48152.13219
96	47904.89441
97	47828.71892
98	47697.89055
99	47652.95639
100	47477.22551
101	47276.36021
102	47099.8074
103	46997.05773
104	46860.83758
105	46713.68606
106	46588.88784
107	46443.643
108	46333.59714
109	46232.00294
110	45987.44969
111	45846.50778
112	45644.00738
113	45494.94766
114	45243.46687
115	45126.49731
116	44981.77224
117	44838.17701
118	44652.17572
119	44517.45258
120	44302.8659
121	44160.98375
122	44044.14296
123	43895.29593
124	43786.43669
125	43626.41153
126	43553.39457
127	43426.17115
128	43297.94423
129	43156.02895
130	43049.18416
131	42956.25034
132	42828.04311
133	42757.48849
134	42641.9222
135	42520.82451
136	42431.71928
137	42306.85001
138	42182.87269
139	42020.65884
140	41928.46914
141	41821.74191
142	41708.20021
143	41627.37776
144	41531.04759
145	41397.39077
146	41292.5803
147	41155.48019
148	41057.27619
149	40977.95285
150	40903.47122
151	40697.35448
152	40619.19492
153	40480.39673
154	40351.01371
155	40295.8191
156	40051.1566
157	39962.54711
158	39880.69652
159	39768.33038
160	39689.59504
161	39646.92738
162	39567.47493
163	39517.95467
164	39434.28465
165	39362.48954
166	39250.65032
167	39121.2672
168	39089.40179
169	39005.83655
170	38964.16811
171	38910.58111
172	38855.04029
173	38773.6863
174	38713.41053
175	38588.90978
176	38469.82224
177	38366.82893
178	38278.20447
179	38220.55005
180	38129.0572
181	38041.5785
182	37958.02409
183	37883.28532
184	37822.64172
185	37707.90969
186	37602.65028
187	37531.05932
188	37442.55811
189	37402.69565
190	37335.91751
191	37264.02164
192	37190.01734
193	37119.62972
194	37098.28735
195	36984.17845
196	36887.69305
197	36831.11595
198	36704.52379
199	36603.80781
