iter	Passed	Remaining
0	64	12928
1	65	6474
2	65	4328
3	66	3251
4	66	2605
5	67	2175
6	67	1867
7	68	1636
8	68	1456
9	69	1311
10	69	1193
11	69	1095
12	70	1012
13	70	940
14	71	878
15	71	823
16	72	775
17	72	733
18	72	695
19	73	660
20	73	629
21	74	601
22	74	575
23	75	551
24	75	529
25	76	508
26	76	489
27	76	472
28	77	455
29	77	440
30	78	426
31	78	412
32	79	400
33	79	388
34	79	376
35	80	365
36	80	355
37	81	345
38	81	336
39	81	327
40	82	319
41	82	311
42	83	304
43	83	296
44	84	289
45	84	282
46	84	276
47	85	270
48	85	264
49	86	258
50	86	253
51	87	247
52	87	242
53	87	237
54	88	233
55	88	228
56	89	223
57	89	219
58	90	215
59	90	211
60	90	207
61	91	203
62	91	199
63	92	196
64	92	192
65	93	189
66	93	185
67	94	182
68	94	179
69	95	176
70	95	173
71	95	170
72	96	167
73	96	164
74	97	161
75	97	159
76	97	156
77	98	154
78	98	151
79	99	149
80	99	146
81	100	144
82	100	142
83	101	139
84	101	137
85	102	135
86	102	133
87	102	131
88	103	128
89	103	126
90	104	124
91	104	122
92	105	121
93	106	119
94	106	117
95	107	116
96	107	114
97	107	112
98	108	110
99	108	108
100	109	107
101	109	105
102	109	103
103	110	101
104	110	100
105	111	98
106	111	97
107	112	95
108	112	93
109	112	92
110	113	90
111	113	89
112	114	87
113	114	86
114	114	84
115	115	83
116	115	82
117	116	80
118	116	79
119	117	78
120	117	76
121	117	75
122	118	74
123	118	72
124	119	71
125	119	70
126	119	68
127	120	67
128	120	66
129	121	65
130	121	64
131	122	62
132	122	61
133	122	60
134	123	59
135	123	58
136	124	57
137	124	55
138	124	54
139	125	53
140	125	52
141	126	51
142	126	50
143	127	49
144	127	48
145	127	47
146	128	46
147	128	45
148	129	44
149	129	43
150	129	42
151	130	41
152	130	40
153	131	39
154	131	38
155	131	37
156	132	36
157	132	35
158	133	34
159	133	33
160	133	32
161	134	31
162	134	30
163	135	29
164	135	28
165	136	27
166	136	26
167	136	26
168	137	25
169	137	24
170	138	23
171	138	22
172	138	21
173	139	20
174	139	19
175	140	19
176	140	18
177	141	17
178	141	16
179	141	15
180	142	14
181	142	14
182	143	13
183	143	12
184	144	11
185	144	10
186	144	10
187	145	9
188	145	8
189	146	7
190	146	6
191	147	6
192	147	5
193	147	4
194	148	3
195	148	3
196	149	2
197	149	1
198	150	0
199	150	0
