iter	RMSE
0	107730.7025
1	103438.8658
2	99388.62196
3	95344.4618
4	92336.05189
5	89862.09675
6	87424.53787
7	85229.30119
8	83135.01749
9	81293.93394
10	79780.866
11	77974.53919
12	76629.2938
13	75585.41246
14	74528.61683
15	73573.23079
16	72622.55954
17	71891.20488
18	71219.32758
19	70131.15808
20	69307.96111
21	68230.56377
22	67603.06877
23	66743.53615
24	66261.25781
25	65818.67669
26	64982.29866
27	64531.98507
28	64223.24866
29	63711.54599
30	63405.68031
31	63046.8426
32	62264.04203
33	61540.4386
34	61189.26228
35	60820.67233
36	60616.55214
37	60258.10326
38	59999.20444
39	59743.81979
40	59200.78062
41	58940.69979
42	58502.59195
43	58140.68181
44	57874.56082
45	57645.1234
46	57353.80707
47	57112.97023
48	56883.16256
49	56637.09351
50	56418.53245
51	56171.21612
52	55931.45055
53	55748.29744
54	55507.89172
55	55337.11375
56	55084.92561
57	54855.88053
58	54644.1922
59	54463.18031
60	54285.8652
61	54101.79618
62	53691.84709
63	53550.68474
64	53296.24407
65	53083.99665
66	52927.65141
67	52704.26296
68	52597.47182
69	52386.31961
70	52303.61329
71	52194.22791
72	52139.65364
73	51799.51245
74	51539.01296
75	51199.95526
76	51038.8478
77	50873.14332
78	50628.80625
79	50439.53121
80	50281.23311
81	49977.30311
82	49854.69029
83	49698.22349
84	49649.61767
85	49463.08746
86	49308.70536
87	49190.19418
88	48977.09363
89	48843.65279
90	48785.84711
91	48611.36587
92	48459.79197
93	48285.34312
94	48177.61336
95	48152.13219
96	47904.89441
97	47828.71892
98	47697.89055
99	47652.95639
