iter	Passed	Remaining
0	59	5854
1	59	2919
2	59	1939
3	60	1450
4	60	1156
5	61	960
6	61	821
7	62	715
8	62	633
9	63	567
10	63	513
11	63	468
12	64	430
13	64	398
14	65	369
15	65	345
16	66	323
17	66	303
18	67	285
19	67	269
20	67	255
21	68	242
22	68	230
23	69	219
24	69	208
25	70	199
26	70	190
27	71	182
28	71	174
29	71	167
30	72	160
31	72	154
32	73	148
33	73	142
34	74	137
35	74	132
36	74	127
37	75	122
38	75	118
39	76	114
40	76	110
41	77	106
42	77	102
43	77	99
44	78	95
45	78	92
46	79	89
47	79	86
48	80	83
49	80	80
50	81	78
51	82	75
52	82	73
53	82	70
54	83	68
55	83	65
56	84	63
57	84	61
58	85	59
59	85	56
60	85	54
61	86	52
62	86	50
63	87	49
64	87	47
65	88	45
66	89	43
67	89	42
68	89	40
69	90	38
70	90	37
71	91	35
72	91	33
73	91	32
74	92	30
75	92	29
76	93	27
77	93	26
78	94	24
79	94	23
80	94	22
81	95	20
82	95	19
83	96	18
84	96	17
85	97	15
86	97	14
87	98	13
88	98	12
89	98	10
90	99	9
91	99	8
92	100	7
93	100	6
94	100	5
95	101	4
96	101	3
97	102	2
98	102	1
99	103	0
