iter	RMSE
0	108443.8163
1	104247.4973
2	100246.7444
3	96428.49451
4	93564.09471
5	90694.64415
6	88226.8553
7	85944.65142
8	83691.94667
9	81940.97097
10	80446.59303
11	78895.04941
12	77611.71356
13	76361.56438
14	75364.63273
15	74460.10522
16	73455.5148
17	72653.02204
18	72056.0524
19	70628.19549
20	69922.02208
21	69239.00533
22	68696.90658
23	67788.21256
24	67312.65017
25	66889.12627
26	66138.45707
27	65538.36087
28	64889.82371
29	64468.43462
30	63822.69976
31	63430.44079
32	62745.19825
33	62169.13588
34	61848.27592
35	61547.07437
36	61334.98736
37	60872.88116
38	60583.42145
39	60301.55676
40	60025.92868
41	59694.96836
42	59320.78172
43	59016.67903
44	58784.71556
45	58645.91576
46	58445.64466
47	58236.08082
48	57867.96032
49	57603.83076
50	57321.71658
51	56987.92204
52	56760.00697
53	56559.58695
54	56419.84732
55	56237.26775
56	56002.36301
57	55719.97953
58	55512.15265
59	55318.23361
60	55032.9981
61	54858.65416
62	54703.70884
63	54553.58885
64	54271.31387
65	54040.8224
66	53903.70163
67	53609.84827
68	53458.05513
69	53296.09005
70	53133.61862
71	52982.41762
72	52820.52308
73	52601.82341
74	52441.42608
75	52236.89997
76	52120.64545
77	52051.62774
78	51908.69219
79	51720.05364
80	51490.58759
81	51355.26188
82	51191.16178
83	51020.48065
84	50717.53564
85	50579.30908
86	50429.57353
87	50304.12995
88	50182.76345
89	50101.90442
90	49895.74158
91	49736.91635
92	49566.17753
93	49490.37138
94	49367.71296
95	49120.92455
96	49040.71547
97	48787.34479
98	48549.12991
99	48449.36999
